01/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
01/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
01/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
01/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
01/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
01/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
01/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
01/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
01/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
01/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
01/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
01/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
01/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
02/07/2016; CORPAMAG ; Tayrona ; Automática ; 11.276619 ; -74.116861 ; 47 ; MAGDALENA ; 47001 ; SANTA MARTA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1 
